type,latitude,longitude,altitude (ft),name,desc
W,21.3020556,-157.8586944,,O Offspring,<div>Likely offspring of O32<br></div>
W,21.3020278,-157.8586667,,O Offspring,<div>Likely offspring of O32<br></div>
W,21.3020833,-157.8587222,,O Offspring,<div>Likely offspring of O32<br></div>
W,21.3020833,-157.8586944,,O Offspring,<div>Likely offspring of O32<br></div>
W,21.3003056,-157.8560278,,O Offspring,<div>About 5 years old</div>
W,21.30125,-157.8148056,,O31,<div>Fruiting Adult from 1969&nbsp;<br></div>
W,21.3011667,-157.8145278,,O Offspring,<div>UH Manoa Campus</div>
W,21.3009722,-157.8148889,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3010833,-157.8155,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3006667,-157.8153611,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3008611,-157.8153889,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3006944,-157.8149167,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3006944,-157.8148889,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3006667,-157.8148889,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3006667,-157.8149167,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3006944,-157.8148056,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3009167,-157.8147222,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3009444,-157.8142222,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3009722,-157.8142222,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3009722,-157.8141667,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3012778,-157.8143056,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3019444,-157.8148611,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3015,-157.8160278,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3014444,-157.8162222,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3014167,-157.817,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.2995556,-157.8138056,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.3010556,-157.8139444,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.2995833,-157.81375,,O Offspring,<div>UH Manoa Campus<br></div>
W,21.2800278,-157.8281111,,O47,<div>Fruiting adult found between buildings<br></div>
W,21.2836667,-157.8286111,,O Offspring,<div>Likely offspring of O47<br></div>
W,21.283,-157.832,,O Offspring,<div>Likely offspring of O47<br></div><div><br></div>
W,21.2824722,-157.8326667,,O Offspring,<div>Likely offspring of O47<br></div>
W,21.2823611,-157.8327778,,O Offspring,<div>Likely offspring of O47<br></div>
W,21.3845833,-158.0171667,,O48,
W,21.3863333,-158.0155,,O Offspring,<div>Likely offspring of O48</div>
W,21.3861667,-158.0155,,O Offspring,<div>Likely offspring of O48<br></div>
W,21.3862222,-158.0155,,O Offspring,<div>Likely offspring of O48<br></div>
W,21.3853889,-158.0163889,,O Offspring,<div>Likely offspring of O48<br></div>
W,21.3860556,-158.0154444,,O Offspring,<div>Likely offspring of O48<br></div>
W,21.4986667,-158.0227778,,O18,
W,21.4984444,-158.0232222,,O Offspring,<div>Likely O18 Offspring<br></div>
W,21.4985833,-158.0231389,,O Offspring,<div>Likely O18 Offspring<br></div>
W,21.4996944,-158.0252222,,O Offspring,<div>Likely O18 Offspring<br></div>
W,21.4996944,-158.0258056,,O Offspring,<div>Likely O18 Offspring</div>
W,21.3383056,-157.83775,,O17,<div>Nichiren Temple Adult</div>
W,21.3382222,-157.83775,,O Offspring,<div>Offspring of O17 or O49 likely</div>
W,21.3381111,-157.8372778,,O49,<div>Old old tree near Queen Emma's palace</div>
W,21.3379722,-157.8368889,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3383611,-157.8376667,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3389167,-157.8389722,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3368889,-157.8381944,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3358056,-157.8381667,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357222,-157.8381111,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357778,-157.8381667,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.33575,-157.8381389,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357222,-157.8383056,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3358056,-157.8382778,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3358889,-157.8382778,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357222,-157.8381944,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
